item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
29,WP1,yes,c,high,Exzessiv arrogant intoniert Annika:,Ich,rauche,bald,meine,Zigarre.,1,Filler
29,WP1,no,f,low,Extrem gro&szlig;kotzig meint Annika:,Ich,rauche,bald,meine,Kneipe.,1,Filler
31,WP1,no,e,high,Grandios geschult prophezeit Klaus:,Ich,feuer,bald,meine,Arznei.,1,Filler
31,WP1,yes,d,low,Spitze gedrillt schnarrt Klaus:,Ich,feuer,bald,meine,Knarre.,1,Filler
33,WP1,yes,c,high,Unermesslich wohlerzogen frohlockt Elisabeth:,Ich,lese,sp&auml;ter,meine,B&uuml;cher.,1,Filler
33,WP1,no,f,low,Ganz doll wacker wiehert Elisabeth:,Ich,lese,sp&auml;ter,meine,Brause.,1,Filler
35,WP1,no,e,high,Effizient autonom deklariert Vera:,Ich,schminke,sp&auml;ter,meine,Lampe.,1,Filler
35,WP1,yes,d,low,Massiv selbst&auml;ndig protzt Vera:,Ich,schminke,sp&auml;ter,meine,Glubscher.,1,Filler
37,WP1,yes,c,high,Achtsam wohlmeinend verbalisiert Norbert:,Ich,wasche,gleich,meine,Finger.,1,Filler
37,WP1,no,f,low,Recht zuvorkommend plauscht Norbert:,Ich,wasche,gleich,meine,Pl&uuml;rre.,1,Filler
39,WP1,no,e,high,Leger verweilend ersinnt Sabine:,Ich,betreibe,jetzt,meine,Hausschuhe.,1,Filler
39,WP1,yes,d,low,L&auml;ssig chillend quasselt Sabine:,Ich,betreibe,jetzt,meine,Absteige.,1,Filler
